Polderpark Cronesteyn, 52.14021297630193, 4.498278338715424 
Buitenplaats Berbice, 52.13534939542556, 4.461645154296979
Park Adegeest,52.132093046789066, 4.449851879351036
Burgemeester Berkhoutpark,52.128815590480876, 4.450506838914822
Recreatiegebied Vlietland,52.121372002161934, 4.4590236328899655
Lentevreugd,52.166761579867334, 4.395363935810358
Landgoed Backershagen,52.13152489239974, 4.393387759477612
Park Landgoed Ter Horst,52.129373898298105, 4.403509106895728
Piet den Hartogplein,52.12543994133566, 4.464890135177835
Meijendel,52.126141201746066, 4.338030436658503
Oostduinpark,52.11993300222421, 4.299523646294844
Marlot,52.09837437962416, 4.358052163702542
Zwemstrand voor honden,52.07399533339563, 4.588124372422465
Dorpsweide,52.178692219009875, 4.444178042886342
Park Landskroon,52.17404637501511, 4.456829514757345
Leidschendammerhout,52.086363027416624, 4.411915843646371
,52.02782605266624, 4.398123092733718
,52.036644619144084, 4.434648178836287
,52.040686029097635, 4.447188689602188
,52.05473897459305, 4.440511080136685
,52.06954594958887, 4.43223185449714
,52.07641772285993, 4.48116393407927
,52.08458280276368, 4.4367686035974705
,52.085155180932304, 4.501857627927453
,52.10355723725804, 4.4299011120845035
,52.11291138994343, 4.398791975396527
,52.13735655117737, 4.362360373826432
